date,open,high,low,close,adjcp,volume,tic
2017-03-09,20.5223,20.6077,20.4673,20.5546,20.5546,25707297.386455,WMT
2017-03-10,32.3451,32.3669,32.1992,32.3176,32.3176,79595797.0,AAPL
2017-03-10,151.631,153.713,151.317,153.332,153.332,3853912.7383413,AMGN
2017-03-10,42.85,42.8675,42.586,42.61,42.61,43137660.0,AMZN
2017-03-10,73.0636,73.138,72.5982,73.0636,73.0636,4071149.0694995,AXP
2017-03-10,170.08,170.15,166.36,167.11,167.11,4755864.0,BA
2017-03-10,79.4809,80.5276,78.5486,79.8449,79.8449,8285513.0647894,CAT
2017-03-10,83.56,83.95,83.24,83.51,83.51,3927129.0,CRM
2017-03-10,28.6565,28.7056,28.523,28.6742,28.6742,21174570.578284,CSCO
2017-03-10,86.8592,86.8679,85.3386,86.2515,86.2515,8393774.8519787,CVX
2017-03-10,106.69,106.77,105.99,106.22,106.22,4204008.0,DIS
2017-03-10,225.331,225.379,220.872,222.244,222.244,3755453.1289133,GS
2017-03-10,128.674,128.87,127.988,128.35,128.35,3572938.3620405,HD
2017-03-10,113.192,113.418,112.659,113.132,113.132,3016596.8209843,HON
2017-03-10,136.044,137.039,135.448,135.77,135.77,4060505.8616533,IBM
2017-03-10,30.7989,30.9474,30.5079,30.6172,30.6172,24143910.735277,INTC
2017-03-10,108.353,108.745,107.92,108.5,108.5,8602551.0430614,JNJ
2017-03-10,78.1985,78.2407,76.9939,77.6306,77.6306,16127982.12386,JPM
2017-03-10,34.8476,34.9895,34.783,34.8995,34.8995,19451903.91687,KO
2017-03-10,112.181,112.211,111.416,111.65,111.65,3643477.1751326,MCD
2017-03-10,158.385,158.87,157.862,158.84,158.84,2942218.8200752,MMM
2017-03-10,51.956,52.0551,51.5043,51.5858,51.5858,11211440.05005,MRK
2017-03-10,59.366,59.5027,59.0378,59.202,59.202,20083165.894608,MSFT
2017-03-10,53.2246,53.6947,53.0095,53.1671,53.1671,9365152.953329,NKE
2017-03-10,77.4313,77.7381,77.305,77.6602,77.6602,7898455.0119649,PG
2017-03-10,106.981,107.453,106.489,107.423,107.423,1465657.6165809,TRV
2017-03-10,149.505,150.892,149.181,150.872,150.872,4117824.0,UNH
2017-03-10,84.6846,85.0267,84.3071,84.9045,84.9045,12942876.0,V
2017-03-10,37.9898,38.0043,37.681,37.8703,37.8703,14385755.603959,VZ
2017-03-10,20.5969,20.7037,20.5383,20.6256,20.6256,22858417.706479,WMT
2017-03-13,32.3236,32.3865,32.2417,32.3332,32.3332,75004280.0,AAPL
2017-03-13,153.282,153.761,152.354,152.979,152.979,2995423.5294022,AMGN
2017-03-13,42.6555,42.7845,42.5855,42.7295,42.7295,38193440.0,AMZN
2017-03-13,73.0636,73.2135,72.7698,72.9068,72.9068,3593322.2166498,AXP
2017-03-13,165.66,167.55,165.57,167.42,167.42,3690045.0,BA
2017-03-13,80.7278,80.9005,79.8025,80.13,80.13,5059348.1303346,CAT
2017-03-13,83.47,83.74,83.08,83.61,83.61,3463669.0,CRM
2017-03-13,28.7154,28.7331,28.4572,28.5406,28.5406,19313632.860377,CSCO
2017-03-13,86.1734,86.4163,85.2313,85.2615,85.2615,8165942.1051726,CVX
2017-03-13,106.22,106.95,106.12,106.79,106.79,5442724.0,DIS
2017-03-13,223.047,223.047,221.184,222.048,222.048,2012348.8505674,GS
2017-03-13,128.763,129.047,128.036,128.841,128.841,3300382.9789148,HD
2017-03-13,113.192,113.408,112.659,112.856,112.856,3310028.5423244,HON
2017-03-13,135.79,135.956,134.687,134.716,134.716,4560592.0604944,IBM
2017-03-13,30.4228,30.7266,29.7889,29.9784,29.9784,62843694.8586,INTC
2017-03-13,108.157,109.127,108.127,108.882,108.882,8265732.9168927,JNJ
2017-03-13,77.6532,78.0541,77.3329,77.6984,77.6984,11762266.149763,JPM
2017-03-13,34.8995,35.0629,34.8319,34.9904,34.9904,15292097.464762,KO
2017-03-13,111.68,111.907,111.119,111.326,111.326,3558142.1497861,MCD
2017-03-13,159.324,159.48,158.23,159.102,159.102,2327042.582344,MMM
2017-03-13,51.6708,51.7126,50.6991,50.81,50.81,17828377.343567,MRK
2017-03-13,59.3943,59.4423,58.8728,58.9998,58.9998,22045111.511794,MSFT
2017-03-13,53.1404,53.5301,52.8666,53.3962,53.3962,7679133.2556565,NKE
2017-03-13,77.6522,78.0182,77.4717,77.8653,77.8653,8516991.2477847,PG
2017-03-13,107.177,107.513,106.547,106.833,106.833,1222408.2559506,TRV
2017-03-13,150.882,151.734,150.479,151.084,151.084,3443223.0,UNH
2017-03-13,84.9709,85.4539,84.7902,85.2629,85.2629,9403418.0,V
2017-03-13,37.8567,38.0092,37.7023,37.9626,37.9626,13510691.289868,VZ
2017-03-13,20.5937,20.7285,20.5113,20.5819,20.5819,22996632.61459,WMT
